,plateifu,mangaid,objra,objdec,T,type,TType-cat,VI_morph,WHAN_Class
222,8078-6104,1-37084,42.73942997,0.369408313,2.435,Sab,Huertas,Spiral,SFBQB
223,8081-3704,1-38014,49.82144204,-0.969631343,2.444,Sab,Huertas,Spiral,PSF
224,8081-6103,1-37936,48.06547714,0.240451563,4.198,Scd,Huertas,Spiral,PSF
225,8082-12701,1-604017,48.89645601,-1.016286105,3.037,Sab,Huertas,Spiral,SFBQB
226,8083-12703,1-38168,49.92933858,0.565477826,2.141,Sab,Huertas,Spiral,PSF
227,8083-12704,1-604053,50.69678615,0.149366137,4.946,Scd,Huertas,Spiral,QB
228,8083-9101,1-38017,50.13841388,-0.339959846,3.228,Sab,Huertas,Spiral,SFB
229,8084-6101,1-38299,51.69424872,-0.648169731,4.609,Scd,Huertas,Spiral,PSF
230,8084-9102,1-38272,51.87840006,-1.127783045,5.128,Scd,Huertas,Spiral,PSF
231,8085-12701,1-38368,51.40994103,-1.030120917,0.637,Sab,Huertas,Spiral,PSF
232,8085-3704,1-38348,51.15551834,-0.444017558,0.855,Sab,Huertas,Spiral,PSF
233,8085-6104,1-38470,51.70891381,0.198588834,0.504,Sab,Huertas,Spiral,PSF
234,8086-9102,1-229060,57.24838236,0.925977123,2.526,Sab,Huertas,Spiral,QB
235,8132-12703,1-338629,113.2668755,42.47246161,3.372,Sab,Huertas,Spiral,SFBQB
236,8132-12705,1-548025,111.93686,42.101512,1.579467773,Sab,SDSS-DeepLearning,Spiral,SFBQB
237,8132-6101,1-548024,111.73368,41.026691,4.566627026,Scd,SDSS-DeepLearning,Spiral,SFBQB
238,8133-12705,1-377841,113.747218,43.47251906,2.798,Sab,Huertas,Spiral,SFBQB
239,8134-12701,1-377978,112.6986802,46.01011573,4.812,Scd,Huertas,Spiral,PSF
240,8134-12704,1-548076,114.73363,47.473781,4.283277035,Scd,SDSS-DeepLearning,Spiral,QB
241,8134-9102,1-339163,116.280207,46.07242123,3.351,Sab,Huertas,Spiral,QB
242,8135-12701,1-604761,113.4722748,37.02590458,4.791,Scd,Huertas,Spiral,QB
243,8135-6103,1-338220,113.057013,39.56007376,0.183,S0,Huertas,Spiral,QB
244,8137-9102,1-43724,117.0386258,43.59070019,2.395,Sab,Huertas,Spiral,SFBQB
245,8138-12701,1-338829,115.6334404,44.23381894,3.548,Sab,Huertas,Spiral,PSF
246,8138-3702,1-339028,116.097926,44.52774148,2.156,Sab,Huertas,Spiral,QB
247,8138-6104,1-339258,117.2914197,46.46188305,5.39,Scd,Huertas,Spiral,PSF
248,8138-9102,1-44219,118.3285438,45.46202603,-1.07,S0,Huertas,Spiral,SFBQB
249,8139-12705,1-604821,116.43123,32.10292,4.694,Scd,Huertas,Spiral,SFBQB
250,8139-6103,1-71167,114.190162,33.12275273,4.277,Scd,Huertas,Spiral,PSF
251,8140-12701,1-43654,116.9303223,41.38637936,-0.816,S0,Huertas,Spiral,LSN
252,8140-12703,1-43783,117.8984691,42.88011507,3.855,Sab,Huertas,Spiral,QB
253,8140-12704,1-43651,117.9237673,42.30357352,4.331,Scd,Huertas,Spiral,PSF
254,8141-12701,1-338771,116.7326422,44.2656993,3.578,Sab,Huertas,Spiral,SFBQB
255,8144-6104,1-152524,115.0483891,28.39464054,-1.451,S0,Huertas,Spiral,SFBQB
256,8145-1901,1-201356,116.9935961,28.32480619,2.138,Sab,Huertas,Spiral,QB
257,8145-3702,1-201314,116.3795338,28.4410097,2.401,Sab,Huertas,Spiral,PSF
258,8145-3704,1-556498,117.57035,27.856993,-1.889897704,S0,SDSS-DeepLearning,Spiral,LSN
259,8145-9101,1-201173,117.1086,27.2980447,3.351,Sab,Huertas,Spiral,SFBQB
260,8147-6102,1-163831,118.6278435,25.81598648,2.82,Sab,Huertas,Spiral,SFBQB
261,8149-12702,1-164109,119.609269,27.16154759,2.296,Sab,Huertas,Spiral,SFBQB
262,8154-12705,1-37547,45.59815923,0.979293944,2.622,Sab,Huertas,Spiral,SFBQB
