plateifu,mangaid,objra,objdec,VI_morph,DR
8714-6101,1-44210,118.7162481,45.82255463,Spiral,16
8715-12701,1-548157,118.3596,50.228421,Spiral,16
8715-12705,1-378795,118.9256155,50.17277247,Spiral,16
8715-9101,1-379087,119.9101153,51.79236257,Spiral,16
8716-9102,1-352103,123.0396445,52.45522934,Spiral,16
8717-9101,1-71525,118.3448525,36.27437882,Spiral,16
8718-12701,1-44303,119.1821518,44.85670853,Spiral,16
8718-12703,1-45126,122.0688935,45.34837365,Spiral,16
8718-6104,1-44633,121.58077,45.74343035,Spiral,16
8718-9101,1-44634,121.7627143,45.6764275,Spiral,16
8719-12702,1-44745,120.1992841,46.69052697,Spiral,16
8719-3701,1-548190,121.33414,46.71653,Spiral,16
8720-1902,1-351702,122.2617494,50.17867402,Spiral,16
8721-12705,1-48560,135.0905155,54.05224378,Spiral,16
8721-6103,1-55572,133.1213026,56.11268849,Spiral,16
8721-9101,1-48535,134.6723823,54.21813819,Spiral,16
8724-12701,1-47305,130.3352461,53.93865146,Spiral,16
8725-3703,1-73009,125.8209596,45.89686489,Spiral,16
8725-6102,1-73001,125.4590399,45.51963572,Spiral,16
8726-12701,1-163516,115.71704,22.11273,Spiral,16
8726-12702,1-217637,116.1838169,22.16017867,Spiral,16
8727-9102,1-51826,55.13062201,-6.439925088,Spiral,16
8728-12701,1-51939,57.72957495,-7.060647007,Spiral,16
8931-12702,1-622911,192.7649442,27.36996624,Spiral,16
8931-12704,1-456341,194.5065033,27.48967595,Spiral,16
8931-9101,1-455633,193.0738357,27.08555223,Spiral,16
8932-12701,1-456376,194.1191224,27.29124638,Spiral,16
